2018-02-25 17:44:51 status half-installed libwbclient0:armhf 2:4.2.14+dfsg-0+deb8u6
2018-02-25 17:44:52 status config-files libwbclient0:armhf 2:4.2.14+dfsg-0+deb8u6
2018-02-25 17:44:52 purge libwbclient0:armhf 2:4.2.14+dfsg-0+deb8u6 <none>
2018-02-25 17:44:52 status config-files libwbclient0:armhf 2:4.2.14+dfsg-0+deb8u6
2018-02-25 17:44:52 status config-files libwbclient0:armhf 2:4.2.14+dfsg-0+deb8u6
2018-02-25 17:44:52 status config-files libwbclient0:armhf 2:4.2.14+dfsg-0+deb8u6
2018-02-25 17:44:52 status config-files libwbclient0:armhf 2:4.2.14+dfsg-0+deb8u6
2018-02-25 17:44:52 status config-files libwbclient0:armhf 2:4.2.14+dfsg-0+deb8u6
2018-02-25 17:44:52 status not-installed libwbclient0:armhf <none>
2018-02-25 17:44:52 status installed samba-common:all 2:4.2.14+dfsg-0+deb8u6
2018-02-25 17:44:52 remove samba-common:all 2:4.2.14+dfsg-0+deb8u6 <none>
2018-02-25 17:44:52 status half-configured samba-common:all 2:4.2.14+dfsg-0+deb8u6
2018-02-25 17:44:52 status half-installed samba-common:all 2:4.2.14+dfsg-0+deb8u6
2018-02-25 17:44:52 status config-files samba-common:all 2:4.2.14+dfsg-0+deb8u6
2018-02-25 17:44:52 purge samba-common:all 2:4.2.14+dfsg-0+deb8u6 <none>
2018-02-25 17:44:52 status config-files samba-common:all 2:4.2.14+dfsg-0+deb8u6
2018-02-25 17:44:52 status config-files samba-common:all 2:4.2.14+dfsg-0+deb8u6
2018-02-25 17:44:52 status config-files samba-common:all 2:4.2.14+dfsg-0+deb8u6
2018-02-25 17:45:04 status config-files samba-common:all 2:4.2.14+dfsg-0+deb8u6
2018-02-25 17:45:05 status config-files samba-common:all 2:4.2.14+dfsg-0+deb8u6
2018-02-25 17:45:06 status not-installed samba-common:all <none>
2018-02-25 17:45:06 trigproc man-db:armhf 2.7.5-1~bpo8+1 <none>
2018-02-25 17:45:06 status half-configured man-db:armhf 2.7.5-1~bpo8+1
2018-02-25 17:45:06 status installed man-db:armhf 2.7.5-1~bpo8+1
2018-02-25 17:45:06 trigproc libc-bin:armhf 2.19-18+deb8u10 <none>
2018-02-25 17:45:06 status half-configured libc-bin:armhf 2.19-18+deb8u10
2018-02-25 17:45:08 status installed libc-bin:armhf 2.19-18+deb8u10
2018-02-25 17:45:12 startup packages configure
2018-02-25 17:50:22 startup packages purge
2018-02-25 17:50:22 status installed pi-bluetooth:armhf 0.1.3
2018-02-25 17:50:23 remove pi-bluetooth:armhf 0.1.3 <none>
2018-02-25 17:50:23 status half-configured pi-bluetooth:armhf 0.1.3
2018-02-25 17:50:24 status half-installed pi-bluetooth:armhf 0.1.3
2018-02-25 17:50:24 status config-files pi-bluetooth:armhf 0.1.3
2018-02-25 17:50:24 purge pi-bluetooth:armhf 0.1.3 <none>
2018-02-25 17:50:24 status config-files pi-bluetooth:armhf 0.1.3
2018-02-25 17:50:25 status config-files pi-bluetooth:armhf 0.1.3
2018-02-25 17:50:25 status config-files pi-bluetooth:armhf 0.1.3
2018-02-25 17:50:28 status config-files pi-bluetooth:armhf 0.1.3
2018-02-25 17:50:28 status config-files pi-bluetooth:armhf 0.1.3
2018-02-25 17:50:29 status not-installed pi-bluetooth:armhf <none>
2018-02-25 17:50:29 status installed bluez:armhf 5.23-2+rpi2
2018-02-25 17:50:30 remove bluez:armhf 5.23-2+rpi2 <none>
2018-02-25 17:50:30 status half-configured bluez:armhf 5.23-2+rpi2
2018-02-25 17:50:32 status installed bluez-firmware:all 1.2-3+rpi1
2018-02-25 17:50:32 remove bluez-firmware:all 1.2-3+rpi1 <none>
2018-02-25 17:50:32 status half-configured bluez-firmware:all 1.2-3+rpi1
2018-02-25 17:50:32 status half-installed bluez-firmware:all 1.2-3+rpi1
2018-02-25 17:50:33 status config-files bluez-firmware:all 1.2-3+rpi1
2018-02-25 17:50:33 status config-files bluez-firmware:all 1.2-3+rpi1
2018-02-25 17:50:33 status config-files bluez-firmware:all 1.2-3+rpi1
2018-02-25 17:50:37 status not-installed bluez-firmware:all <none>
2018-02-25 17:51:00 startup packages configure
2018-02-25 17:51:00 configure bluez:armhf 5.23-2+rpi2 <none>
2018-02-25 17:51:00 status half-configured bluez:armhf 5.23-2+rpi2
2018-02-25 17:52:00 startup packages configure
2018-02-25 17:52:00 configure bluez:armhf 5.23-2+rpi2 <none>
2018-02-25 17:52:00 status half-configured bluez:armhf 5.23-2+rpi2
2018-02-25 17:52:03 status installed bluez:armhf 5.23-2+rpi2
2018-02-25 17:52:03 startup packages configure
2018-02-25 17:53:36 startup packages purge
